asus phone
Product Name,Price,Rating

ASUS ROG Phone 3 (Black |  128 GB),Rs 43999,4.4*
ASUS ROG Phone 5 (Black |  128 GB),Rs 49999,4.3*
ASUS ROG Phone 3 (Black |  128 GB),Rs 39999,4.4*
ASUS 6Z (Black |  64 GB),Rs 35999,4.3*
ASUS Zenfone Max Pro M1 (Grey |  64 GB),Rs 15599,4.3*
ASUS Zenfone Max Pro M1 (Black |  64 GB),Rs 17999,4.3*
ASUS Zenfone Max Pro M1 (Blue |  64 GB),Rs 15599,4.3*
ASUS ZenFone Max M2 (Silver |  64 GB),Rs 14999,4.3*
ASUS ZenFone Max M1 (Gold |  32 GB),Rs 9599,4.2*
ASUS Zenfone Go (Silver |  8 GB),Rs 5299,3.8*
ASUS Zenfone Go 4.5 (Black |  8 GB),Rs 5299,3.9*
ASUS Zenfone Go 5.5 (Gold |  32 GB),Rs 6999,3.7*
ASUS ZenFone Max M2 (Silver |  32 GB),Rs 12999,4.3*
ASUS ZenFone Max M2 (Blue |  32 GB),Rs 12999,4.3*
ASUS ZenFone Lite L1 (Gold |  16 GB),Rs 7199,4.2*
ASUS ZenFone Lite L1 (Black |  16 GB),Rs 7199,4.2*
ASUS Zenfone Max Pro M1 (Blue |  32 GB),Rs 13199,4.3*
ASUS ROG Phone 5 (Black |  256 GB),Rs 57999,4.5*
ASUS Zenfone Go (Gold |  8 GB),Rs 5299,3.8*
ASUS Zenfone Go 5.0 LTE (White |  16 GB),Rs 7999,3.7*
ASUS Zenfone Go (2nd Gen) (Red |  8 GB),Rs 5299,3.7*
ASUS ROG Phone 5 (White |  128 GB),Rs 49999,4.3*
ASUS ROG Phone 3 (Black |  256 GB),Rs 57999,4.4*
ASUS Zenfone Go 4.5 LTE (Red |  8 GB),Rs 7499,3.6*
asus phone
Product Name,Price,Rating

ASUS Zenfone Go 4.5 (Pink |  8 GB),Rs 5299,3.9*
ASUS Zenfone Go 4.5 LTE (Silver |  8 GB),Rs 7499,3.6*
ASUS Zenfone Go 4.5 LTE (Silver |  Blue |  8 GB),Rs 7499,3.6*
ASUS Zenfone Selfie (Purple |  16 GB),Rs 13999,4*
ASUS Zenfone Go 5.0 (Black |  8 GB),Rs 7999,4*
ASUS Zenfone Go (Silver |  8 GB),Rs 5699,3.8*
ASUS Zenfone GO (Black |  16 GB),Rs 8499,3.8*
ASUS Zenfone Go (2nd Gen) (White |  8 GB),Rs 5299,3.7*
ASUS ZenFone Max M2 (Blue |  64 GB),Rs 14999,4.3*
ASUS Zenfone Selfie (Aqua Blue |  32 GB),Rs 16999,4*
ASUS Zenfone Selfie (Grey |  32 GB),Rs 16999,4*
ASUS Zenfone Go (Silver Blue |  8 GB),Rs 5699,3.8*
ASUS Zenfone Max ZC550KL (Blue |  32 GB),Rs 12999,4.1*
ASUS Zenfone Go 5.0 (White |  16 GB),Rs 6999,4*
ASUS ZenFone Max Pro M2 (Titanium |  64 GB),Rs 17999,4.3*
ASUS Zenfone C (Red |  8 GB),Rs 6299,3.8*
ASUS Zenfone C (White |  8 GB),Rs 6299,3.8*
ASUS Zenfone C (Black |  8 GB),Rs 6299,3.8*
ASUS 6Z (Silver |  128 GB),Rs 38999,4.3*
ASUS ZenFone Max M1 (Black |  32 GB),Rs 9599,4.2*
ASUS Zenfone Go 5.0 (Black |  16 GB),Rs 4499,4*
